Step,v_strain,Temp,v_p2,v_p3,v_p4,KinEng,PotEng,Press
0,-1.0487226e-15,302.6332,0.0056989975,0.040509021,0.0093981311,156.43452,-13286.295,-185.35383
1000,0.01,302.61013,0.6206466,-0.044247955,-0.030117707,156.4226,-13283.888,-1820.9364
2000,0.02,301.08047,1.3063143,0.028311678,0.00075964909,155.63191,-13277.753,-4451.2854
3000,0.03,295.06065,1.8720151,-0.060508368,-0.040794911,152.52019,-13266.465,-5902.3729
4000,0.04,300.28121,2.5172848,0.032086221,0.024173008,155.21876,-13258.248,-8578.4801
5000,0.05,302.58107,3.1217766,0.017275833,0.0054045163,156.40758,-13245.9,-10481.523
6000,0.06,299.0426,3.6999865,-0.014764047,-0.034994858,154.57851,-13228.154,-12167.425
7000,0.07,297.42678,4.2809824,0.018702308,0.029079245,153.74327,-13209.128,-14429.213
8000,0.08,296.81055,4.8021501,-0.0042911713,-0.00011323062,153.42473,-13188.288,-15992.486
9000,0.09,302.5941,5.3873703,-0.010441288,0.024174989,156.41432,-13168.383,-18003.68
10000,0.1,294.21455,5.8773177,-0.014213004,-0.068210419,152.08283,-13138.939,-19316.314
11000,0.11,293.8194,6.4260964,-0.015589019,-0.017940438,151.87857,-13111.247,-21308.557
12000,0.12,292.33311,6.9599697,0.029437982,0.026334434,151.11029,-13080.509,-23385.807
13000,0.13,299.76043,7.3731431,-0.01056714,0.0096329817,154.94956,-13052.401,-24574.03
14000,0.14,298.47098,7.7298693,-0.016884449,-0.009547518,154.28303,-13017.599,-25678.124
15000,0.15,0,2.5455908,-0.091919603,0.057791909,0,-13052.155,-8371.5437
16000,0.16,0,1.5636184,-0.057366428,0.064854676,0,-13096.979,-5237.0222
17000,0.17,0,1.1238072,0.032990332,0.056901771,0,-13126.332,-4045.6642
18000,0.18,0,1.3453722,0.048623019,-0.031307402,0,-13141.288,-4542.2926
19000,0.19,0,1.2399415,0.015649032,0.0055242637,0,-13153.225,-4203.7161
20000,0.2,0,1.4448565,0.0048512181,-0.020780661,0,-13163.605,-4763.0903
